Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Tot_Benes,Tot_Submtd_Cvrd_Chrg,Tot_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Dschrgs,Tot_Cvrd_Days,Tot_Days,Bene_Avg_Age,Bene_Age_LT_65_Cnt,Bene_Age_65_74_Cnt,Bene_Age_75_84_Cnt,Bene_Age_GT_84_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Bene_Race_Wht_Cnt,Bene_Race_Black_Cnt,Bene_Race_API_Cnt,Bene_Race_Hspnc_Cnt,Bene_Race_NatInd_Cnt,Bene_Race_Othr_Cnt,Bene_Dual_Cnt,Bene_Ndual_Cnt,Bene_CC_BH_ADHD_OthCD_V1_Pct,Bene_CC_BH_Alcohol_Drug_V1_Pct,Bene_CC_BH_Tobacco_V1_Pct,Bene_CC_BH_Alz_NonAlzdem_V2_Pct,Bene_CC_BH_Anxiety_V1_Pct,Bene_CC_BH_Bipolar_V1_Pct,Bene_CC_BH_Mood_V2_Pct,Bene_CC_BH_Depress_V1_Pct,Bene_CC_BH_PD_V1_Pct,Bene_CC_BH_PTSD_V1_Pct,Bene_CC_BH_Schizo_OthPsy_V1_Pct,Bene_CC_PH_Asthma_V2_Pct,Bene_CC_PH_Afib_V2_Pct,Bene_CC_PH_Cancer6_V2_Pct,Bene_CC_PH_CKD_V2_Pct,Bene_CC_PH_COPD_V2_Pct,Bene_CC_PH_Diabetes_V2_Pct,Bene_CC_PH_HF_NonIHD_V2_Pct,Bene_CC_PH_Hyperlipidemia_V2_Pct,Bene_CC_PH_Hypertension_V2_Pct,Bene_CC_PH_IschemicHeart_V2_Pct,Bene_CC_PH_Osteoporosis_V2_Pct,Bene_CC_PH_Parkinson_V2_Pct,Bene_CC_PH_Arthritis_V2_Pct,Bene_CC_PH_Stroke_TIA_V2_Pct,Bene_Avg_Risk_Scre
010021,Dale Medical Center,126 Hospital Ave,Ozark,36360,AL,01,4.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",206,6330222,3218726,2815559,255,1394,1398,72.558252427,41,59,67,39,114,92,164,36,,,,,67,139,0.0339805825,0.1650485437,0.286407767,0.2669902913,0.4126213592,0.1116504854,0.4854368932,0.3495145631,0.0242718447,0.0436893204,0.1650485437,0.1165048544,0.3203883495,0.1165048544,0.4223300971,0.4417475728,0.4708737864,0.3980582524,0.7427184466,0.75,0.4223300971,0.1262135922,0.0291262136,0.5291262136,0.145631068,1.5685490585
010022,Floyd Cherokee Medical Center,400 Northwood Dr,Centre,35960,AL,01,3,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",156,3389405,1583461,1386244,175,709,715,62.679487179,71,45,29,11,74,82,125,24,,,,,70,86,0.0769230769,0.5833333333,0.5576923077,0.141025641,0.5961538462,0.2243589744,0.608974359,0.5705128205,0.0961538462,0.141025641,0.2243589744,0.1153846154,0.2628205128,0.0897435897,0.2820512821,0.4230769231,0.3333333333,0.3012820513,0.6538461538,0.75,0.3333333333,0.0320512821,0.0192307692,0.5128205128,0.0897435897,1.52632279
010023,Baptist Medical Center South,2105 East South Boulevard,Montgomery,36116,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2120,153035383,48178838,37518443,2657,15719,16983,73.160849057,384,679,648,409,1124,996,1378,691,11,11,,,503,1617,0.0127358491,0.1051886792,0.204245283,0.2136792453,0.3283018868,0.0438679245,0.3141509434,0.2830188679,0.0117924528,0.0193396226,0.0476415094,0.1018867925,0.3617924528,0.1844339623,0.4316037736,0.3009433962,0.4825471698,0.4108490566,0.75,0.75,0.5240566038,0.1382075472,0.0301886792,0.5405660377,0.2919811321,2.1218965739
010024,Jackson Hospital & Clinic Inc,1725 Pine Street,Montgomery,36106,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1813,151378004,32698948,26402672,2416,15140,16027,73.808052951,286,616,539,372,897,916,1145,621,15,,,21,434,1379,0.0088251517,0.1340319912,0.1770546056,0.2178709322,0.3028130171,0.0435741864,0.3199117485,0.2796469939,0.0132377275,0.0209597352,0.0474351903,0.0987313844,0.3237727523,0.1908439051,0.4473248759,0.3243243243,0.49862107,0.387755102,0.75,0.75,0.5151682295,0.1224489796,0.0303364589,0.6150027579,0.2261445119,2.2771125154
010029,East Alabama Medical Center,2000 Pepperell Parkway,Opelika,36801,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2069,92863028,40260773,31417937,2671,16574,17454,73.476558724,342,682,651,394,1110,959,1529,491,,,,30,487,1582,0.0101498308,0.1150314161,0.2387626873,0.2054132431,0.3054615756,0.0396326728,0.2977283712,0.2542290962,0.0130497825,0.0212663122,0.0478492025,0.1256645723,0.3518608023,0.1880135331,0.3813436443,0.3102948284,0.4258095698,0.3813436443,0.7433542774,0.75,0.4804253262,0.1290478492,0.0285161914,0.5036249396,0.1662638956,1.8759591994
010033,University Of Alabama Hospital,619 South 19th Street,Birmingham,35233,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7389,1197285086,276548046,200977945,9821,60642,64110,69.567329815,1788,2827,1955,819,3647,3742,5435,1726,47,65,,,1643,5746,0.0177290567,0.1392610637,0.2109893084,0.165516308,0.3884152118,0.0587359589,0.3853024767,0.3484910001,0.0235485181,0.0238191907,0.0449316552,0.121938016,0.3377994316,0.2066585465,0.429016105,0.2882663419,0.4310461497,0.3926106374,0.7489511436,0.75,0.4476925159,0.12545676,0.031804033,0.5259169035,0.2233049127,2.2336457016
010034,Community Hospital Inc,805 Friendship Road,Tallassee,36078,AL,01,7.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",89,1101496,1025465,842468,113,417,438,75.438202247,15,24,26,24,47,42,73,16,,,,,23,66,0.0224719101,0.1573033708,0.2584269663,0.3146067416,0.393258427,0.0898876404,0.3483146067,0.2696629213,0.0224719101,0.0449438202,0.0786516854,0.1123595506,0.3483146067,0.1685393258,0.3483146067,0.4269662921,0.4157303371,0.4382022472,0.7415730337,0.75,0.5617977528,0.1797752809,0.0112359551,0.5056179775,0.2359550562,1.6347376575
010035,Cullman Regional Medical Center,1912 Alabama Highway 157,Cullman,35058,AL,01,5,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1662,78582662,25012606,20870562,2314,9861,10191,75.953068592,208,466,584,404,925,737,1628,12,,12,,,415,1247,0.0174488568,0.1028880866,0.2184115523,0.2587244284,0.4115523466,0.0433212996,0.4578820698,0.3784596871,0.0427196149,0.0144404332,0.0457280385,0.0836341757,0.3664259928,0.1762936221,0.40433213,0.3610108303,0.4253910951,0.5174488568,0.75,0.75,0.4753309266,0.1883273165,0.0463297232,0.5800240674,0.225631769,1.7958554944
010036,Andalusia Health,849 South Three Notch Street,Andalusia,36420,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",470,32350809,6022536,4942883,623,2406,2496,76.612765957,46,125,176,123,270,200,411,54,,,,,159,311,0.0063829787,0.1595744681,0.2574468085,0.2765957447,0.3787234043,0.0595744681,0.370212766,0.329787234,0.0595744681,0.0212765957,0.0638297872,0.1319148936,0.4127659574,0.1723404255,0.5744680851,0.4468085106,0.4872340426,0.5234042553,0.75,0.75,0.4914893617,0.129787234,0.0638297872,0.685106383,0.270212766,1.9683183324
010039,Huntsville Hospital,101 Sivley Rd,Huntsville,35801,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7952,854206814,161212023,130460791,10833,66050,69063,75.51332998,887,2537,2811,1717,4265,3687,6874,830,52,80,,,1254,6698,0.0150905433,0.1047535211,0.1952967807,0.222082495,0.349471831,0.0515593561,0.3620472837,0.3099849095,0.0206237425,0.0201207243,0.0431338028,0.1155684105,0.388832998,0.1988179074,0.4197686117,0.2933853119,0.4416498994,0.3892102616,0.75,0.75,0.5290492958,0.1472585513,0.0354627767,0.5593561368,0.2332746479,1.8470365121
010040,Gadsden Regional Medical Center,1007 Goodyear Avenue,Gadsden,35903,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1430,335695911,22527969,18139451,1898,10466,11007,71.446153846,341,427,427,235,745,685,1278,130,,,,,453,977,0.0272727273,0.1741258741,0.2986013986,0.2251748252,0.4664335664,0.141958042,0.4769230769,0.4384615385,0.0370629371,0.0405594406,0.113986014,0.1629370629,0.358041958,0.1853146853,0.465034965,0.4223776224,0.4573426573,0.4216783217,0.75,0.75,0.4909090909,0.1125874126,0.0335664336,0.6076923077,0.2174825175,1.9603239953
010044,Marion Regional Medical Center,1256 Military Street South,Hamilton,35570,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",121,2896602,1504771,1328824,144,420,425,77.917355372,13,24,44,40,71,50,116,,,,,,36,85,0.0165289256,0.1570247934,0.2892561983,0.3223140496,0.5454545455,0.2066115702,0.5867768595,0.5867768595,0.0247933884,0,0.041322314,0.1157024793,0.4214876033,0.2066115702,0.4710743802,0.4545454545,0.5289256198,0.5454545455,0.75,0.75,0.5454545455,0.2809917355,0.0578512397,0.6694214876,0.2479338843,1.8647438017
010045,Fayette Medical Center,1653 Temple Avenue North,Fayette,35555,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",197,4585073,2422793,2074537,236,817,835,78.299492386,14,53,72,58,126,71,176,20,,,,,64,133,0.0050761421,0.1015228426,0.1624365482,0.2741116751,0.3350253807,0.0659898477,0.421319797,0.3502538071,0.0050761421,0.0152284264,0.0659898477,0.0659898477,0.385786802,0.1878172589,0.421319797,0.4720812183,0.4263959391,0.4263959391,0.730964467,0.75,0.3553299492,0.1472081218,0.0456852792,0.6395939086,0.192893401,1.7396439163
010046,Riverview Regional Medical Center,600 South Third Street,Gadsden,35901,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1236,147604221,17900329,15193395,1677,7997,8277,73.48381877,230,382,383,241,689,547,1097,114,,,,14,377,859,0.0113268608,0.1521035599,0.317961165,0.2265372168,0.46197411,0.1067961165,0.4393203883,0.3948220065,0.0275080906,0.0315533981,0.0598705502,0.1529126214,0.3705501618,0.1537216828,0.5558252427,0.4409385113,0.503236246,0.4991909385,0.75,0.75,0.5461165049,0.1310679612,0.0323624595,0.6634304207,0.2030744337,2.0825844054
010049,Medical Center Enterprise,400 N Edwards Street,Enterprise,36330,AL,01,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",631,74665807,7646191,6292549,797,3367,3520,75.657686212,61,201,232,137,372,259,542,69,,,,,133,498,0.0079239303,0.1045958796,0.2297939778,0.2472266244,0.4088748019,0.0649762282,0.4469096672,0.383518225,0.0126782884,0.0332805071,0.0538827258,0.1220285261,0.3565768621,0.1933438986,0.3692551506,0.3549920761,0.440570523,0.3930269414,0.7432646593,0.75,0.4057052298,0.175911252,0.0459587956,0.6196513471,0.2107765452,1.735724448
010051,Greene County Hospital,509 Wilson Avenue,Eutaw,35462,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",32,313914,319424,282858,34,168,168,59.40625,20,,,,12,20,16,15,,,,,19,13,0.15625,0.71875,0.625,0.09375,0.625,0.3125,0.6875,0.625,0.15625,0.25,0.3125,0.15625,0.125,0.1875,0.1875,0.3125,0.34375,0.21875,0.59375,0.75,0.3125,0,0,0.4375,0.0625,1.5371560326
010052,Lake Martin Community Hospital,201 Mariarden Road,Dadeville,36853,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",94,939928,1019949,856413,115,450,458,78,,25,32,,54,40,74,17,,,,,24,70,0.0106382979,0.1382978723,0.2127659574,0.2872340426,0.2765957447,0.0319148936,0.3404255319,0.3085106383,0,0.0212765957,0.0106382979,0.1170212766,0.414893617,0.170212766,0.4787234043,0.5425531915,0.5212765957,0.4893617021,0.7340425532,0.75,0.5319148936,0.170212766,0.0531914894,0.7340425532,0.170212766,1.5835834301
010055,Flowers Hospital,4370 West Main Street,Dothan,36305,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2417,365811274,39045898,30989764,3044,15368,16325,74.803061647,302,798,854,463,1275,1142,2040,312,,28,,27,505,1912,0.011170873,0.1083988415,0.2354158047,0.2002482416,0.4282167977,0.0459247,0.3839470418,0.3438146463,0.0128258171,0.0355812991,0.0459247,0.1237070749,0.3661563922,0.1956971452,0.4004964832,0.3334712453,0.4625568887,0.3756723211,0.75,0.75,0.4526272238,0.1485312371,0.0384774514,0.5961936285,0.2201075714,1.7722007205
010056,St Vincent's Birmingham,810 St Vincent's Drive,Birmingham,35205,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2797,213806285,48587869,40168239,3575,18697,19502,75.620664998,277,979,953,588,1494,1303,2323,414,,22,,27,350,2447,0.0143010368,0.117268502,0.1798355381,0.2245262782,0.3639613872,0.0464783697,0.3939935645,0.3568108688,0.0289595996,0.013585985,0.0350375402,0.1208437612,0.3786199499,0.2102252413,0.4633535931,0.2956739364,0.4569181266,0.3911333572,0.75,0.75,0.4951734001,0.1544511977,0.0353950661,0.5974258134,0.2377547372,1.9219950646
010058,Bibb Medical Center,208 Pierson Ave,Centreville,35042,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",70,700651,1023719,908695,80,407,408,77.357142857,,20,20,,47,23,60,,,,,,29,41,0,0.1142857143,0.1428571429,0.4428571429,0.5142857143,0.1,0.4,0.3285714286,0.0142857143,0,0.0285714286,0.0857142857,0.3428571429,0.0857142857,0.5,0.2714285714,0.4714285714,0.4857142857,0.75,0.75,0.3142857143,0.2428571429,0.0857142857,0.5857142857,0.1571428571,2.0347285675
010059,Lawrence Medical Center,202 Hospital Street,Moulton,35650,AL,01,7.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",94,1320002,1118609,973086,111,394,404,72.5,17,36,29,12,54,40,87,,,,,,38,56,0.1063829787,0.1595744681,0.3617021277,0.1808510638,0.6063829787,0.0744680851,0.585106383,0.5212765957,0.0212765957,0.0212765957,0.1063829787,0.1276595745,0.2872340426,0.1914893617,0.4255319149,0.670212766,0.6276595745,0.5531914894,0.75,0.75,0.5212765957,0.2553191489,0.0425531915,0.75,0.1382978723,1.8388484043
010061,Highlands Medical Center,380 Woods Cove Road,Scottsboro,35768,AL,01,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",476,15302580,7053145,5917842,608,2794,2845,75.159663866,73,142,159,102,284,192,460,,,,,,152,324,0.0042016807,0.1512605042,0.2457983193,0.2710084034,0.493697479,0.0462184874,0.4201680672,0.3697478992,0.0147058824,0.0168067227,0.0630252101,0.1323529412,0.3382352941,0.1638655462,0.3697478992,0.4096638655,0.506302521,0.525210084,0.718487395,0.75,0.487394958,0.1281512605,0.0546218487,0.6827731092,0.2142857143,1.6077121297
010062,Wiregrass Medical Center,1200 W Maple Avenue,Geneva,36340,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",121,2800823,1595272,1358122,159,850,865,70.603305785,30,46,31,14,56,65,105,15,,,,,59,62,0.0247933884,0.2396694215,0.3719008264,0.2561983471,0.4214876033,0.1239669421,0.520661157,0.479338843,0.132231405,0.0578512397,0.1570247934,0.1157024793,0.4214876033,0.0909090909,0.479338843,0.4462809917,0.4049586777,0.4958677686,0.652892562,0.75,0.479338843,0.1818181818,0.0330578512,0.4876033058,0.1157024793,1.7663859045
010065,Russell Medical Center,3316 Highway 280,Alexander City,35010,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",429,10134568,5850198,5093566,511,1726,1747,76.356643357,50,108,158,113,208,221,364,52,,,,,92,337,0.0023310023,0.1491841492,0.1841491841,0.2587412587,0.3193473193,0.0372960373,0.3496503497,0.289044289,0.0093240093,0.0256410256,0.048951049,0.0909090909,0.4289044289,0.1958041958,0.634032634,0.4032634033,0.4428904429,0.4895104895,0.75,0.75,0.5850815851,0.1235431235,0.0582750583,0.6596736597,0.2074592075,1.9783409528
010069,Medical Center Barbour,820 W Washington St,Eufaula,36027,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",196,4794219,2688586,2256674,256,1022,1055,73.948979592,31,51,77,37,116,80,136,50,,,,,59,137,0.0102040816,0.1581632653,0.2704081633,0.2091836735,0.3775510204,0.0714285714,0.4081632653,0.3673469388,0.0102040816,0.0153061224,0.1326530612,0.1326530612,0.3112244898,0.1581632653,0.4132653061,0.3928571429,0.4030612245,0.4183673469,0.75,0.75,0.3265306122,0.0969387755,0.0255102041,0.4744897959,0.1683673469,1.9123234651
010073,Clay County Hospital,83825 Highway 9    P O Box 1270,Ashland,36251,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",184,3630811,2588775,2175954,254,1211,1257,68.804347826,71,37,38,38,92,92,156,24,,,,,93,91,0.0706521739,0.4565217391,0.527173913,0.2010869565,0.5380434783,0.2119565217,0.6032608696,0.4891304348,0.0923913043,0.1304347826,0.2336956522,0.1086956522,0.3097826087,0.1576086957,0.2717391304,0.472826087,0.3369565217,0.3315217391,0.6576086957,0.75,0.3967391304,0.0597826087,0.0380434783,0.6358695652,0.1847826087,1.602810359
010078,Northeast Alabama Regional Medical Center,400 East 10th Street,Anniston,36207,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1962,195547990,31581177,26270465,2813,16336,16935,73.825688073,328,605,637,392,1162,800,1656,255,,,,30,508,1454,0.0096839959,0.1661569827,0.2737003058,0.251783894,0.3883792049,0.0698267074,0.3929663609,0.3394495413,0.0224260958,0.0229357798,0.0509683996,0.1314984709,0.3557594292,0.1666666667,0.4694189602,0.4663608563,0.4648318043,0.4582059123,0.75,0.75,0.5514780836,0.1773700306,0.0265035678,0.6829765545,0.1783893986,2.0020061124
010079,Athens Limestone Hospital,700 West Market Street,Athens,35611,AL,01,5,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",800,30309486,11276551,9279609,1000,4247,4391,75.9125,92,237,287,184,481,319,729,53,,,,,156,644,0.015,0.1125,0.19375,0.24,0.335,0.06375,0.4175,0.3425,0.0275,0.01875,0.05,0.11375,0.35,0.17875,0.42,0.345,0.485,0.43625,0.75,0.75,0.48,0.17625,0.0475,0.6375,0.175,1.7773478098
010083,South Baldwin Regional Medical Center,1613 North Mckenzie Street,Foley,36535,AL,01,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1415,175538209,19639298,16703843,1810,6702,6925,75.790106007,122,497,524,272,744,671,1344,32,,11,,21,139,1276,0.0106007067,0.1335689046,0.183745583,0.2021201413,0.3561837456,0.0445229682,0.3392226148,0.3130742049,0.0077738516,0.0169611307,0.0247349823,0.0946996466,0.406360424,0.1879858657,0.3922261484,0.3363957597,0.3964664311,0.3971731449,0.75,0.75,0.5660777385,0.1448763251,0.0268551237,0.5802120141,0.1780918728,1.6356319504
